Year,Linear,Moving Average,Exponential Smoothing,ARIMA
2022,2024.166446327683,3047.703333333333,3204.1715013912044,3191.850451099883
2023,2066.8910292673827,3204.5266666666666,3348.0101216924218,3379.7851751838043
2024,2109.615612207097,3361.35,3491.848741993639,3508.7679118643628
2025,2152.3401951467968,3518.173333333333,3635.687362294857,3658.256013188008
2026,2195.0647780864965,3674.996666666667,3779.525982596074,3800.611700530951
2027,2237.789361026211,3831.82,3923.3646028972917,3945.448266906166
2028,2280.5139439659106,3988.6433333333334,4067.203223198509,4089.4219051353953
2029,2323.238526905625,4145.466666666667,4211.041843499726,4233.695697050252
2030,2365.9631098453247,4302.290000000001,4354.880463800944,4377.865086025636
