Year,Forecast GDP (Billion USD)
2022,3191.850450803085
2023,3379.7851750470795
2024,3508.767911605791
2025,3658.256012948436
2026,3800.611700246505
2027,3945.4482666042395
2028,4089.4219048046602
2029,4233.695696695276
2030,4377.86508564461
