Year,Linear,Moving Average,Exponential Smoothing,ARIMA
2022,$2024B,$3048B,$3204B,$3192B
2023,$2067B,$3205B,$3348B,$3380B
2024,$2110B,$3361B,$3492B,$3509B
2025,$2152B,$3518B,$3636B,$3658B
2026,$2195B,$3675B,$3780B,$3801B
2027,$2238B,$3832B,$3923B,$3945B
2028,$2281B,$3989B,$4067B,$4089B
2029,$2323B,$4145B,$4211B,$4234B
2030,$2366B,$4302B,$4355B,$4378B
